# number_of_models, mu, sigma
5.000000000000000000e+01,1.963775766217065399e+00,2.620210045937785420e-02
1.000000000000000000e+02,1.916237024775746534e+00,4.316029796830549159e-02
2.000000000000000000e+02,1.908931386287153087e+00,7.491105387975410812e-02
