# number_of_models, mu, sigma
5.000000000000000000e+01,-6.829776480099194851e-03,3.978403549148415473e-04
1.000000000000000000e+02,-6.932530658857211092e-03,6.401681623715646400e-04
2.000000000000000000e+02,-7.014581094387522739e-03,9.984400229076947995e-04
