# number_of_models, mu, sigma
5.000000000000000000e+01,4.569844458535873954e+00,7.698981716209257753e-02
1.000000000000000000e+02,4.753585105707023750e+00,6.735864281336984005e-02
2.000000000000000000e+02,4.849030570298411114e+00,3.727085448881899826e-02
5.000000000000000000e+02,4.915391443461465393e+00,4.196508227188806839e-02
1.000000000000000000e+03,4.932499133339478981e+00,2.894737023701115727e-02
