# number_of_models, mu, sigma
5.000000000000000000e+01,1.029486393329416896e-02,9.317628171527802053e-03
1.000000000000000000e+02,-1.636361143770862642e-02,7.445072704537622314e-03
2.000000000000000000e+02,-2.796606057510003795e-02,4.158455033823255965e-03
5.000000000000000000e+02,-3.656828416394895115e-02,3.640691602169419949e-03
1.000000000000000000e+03,-3.825541685526008540e-02,3.382970591894739719e-03
