# number_of_models, mu, sigma
5.000000000000000000e+01,5.877576899224693507e-01,2.731457899074252529e-02
1.000000000000000000e+02,5.873514888178000826e-01,4.048184734170157811e-02
2.000000000000000000e+02,6.098721487312792622e-01,2.583843325805243799e-02
5.000000000000000000e+02,6.205563794161976787e-01,4.485614631691001858e-02
1.000000000000000000e+03,6.287470047487229152e-01,2.476200386770869774e-02
