# number_of_models, mu, sigma
5.000000000000000000e+01,6.063287941925843416e-02,1.171920202398894773e-02
1.000000000000000000e+02,5.286834546856842426e-02,1.734328930242201236e-02
2.000000000000000000e+02,3.826660042846797422e-02,1.217233766747699911e-02
5.000000000000000000e+02,3.295076592365239060e-02,1.883917165890055742e-02
1.000000000000000000e+03,2.998524085672520448e-02,9.491536998589377924e-03
