# number_of_trees, mu, sigma
5.000000000000000000e+01,8.832152116496425065e-02,6.828473668070463368e-03
1.000000000000000000e+02,8.283180221826036416e-02,4.527010477063961834e-03
2.000000000000000000e+02,7.834748730427243402e-02,5.080694280592659533e-03
5.000000000000000000e+02,7.238464834038761675e-02,5.857183020248315358e-03
1.000000000000000000e+03,7.433499573717579356e-02,6.338190925909876171e-03
