# number_of_trees, mu, sigma
5.000000000000000000e+01,3.973875104815127735e-01,2.685850621850916983e-02
1.000000000000000000e+02,4.073702731274170818e-01,1.751290794636922027e-02
2.000000000000000000e+02,4.155903995165012299e-01,2.018259351026177595e-02
5.000000000000000000e+02,4.290474760664627629e-01,2.716887035134292125e-02
1.000000000000000000e+03,4.227787910589211329e-01,2.133134576526070011e-02
