# number_of_models, mu, sigma
5.000000000000000000e+01,5.037086808120516679e-02,3.036439138363423995e-02
1.000000000000000000e+02,5.285975227209403077e-02,1.079503347985933705e-02
2.000000000000000000e+02,5.631331377892268009e-02,6.640075606120302877e-03
