# number_of_models, mu, sigma
5.000000000000000000e+01,1.780177816183929451e+00,2.313145223854971011e-01
1.000000000000000000e+02,1.757357029076772381e+00,1.040322114143203275e-01
2.000000000000000000e+02,1.725200803904134661e+00,4.712604664618948863e-02
