# number_of_models, mu, sigma
5.000000000000000000e+01,7.677695307951272419e+00,2.063866228128269087e-01
1.000000000000000000e+02,8.024041217335437182e+00,1.266986032520807381e-01
2.000000000000000000e+02,8.006950639737155484e+00,8.923991739193978812e-02
5.000000000000000000e+02,8.150977475517798609e+00,6.792908983298491521e-02
1.000000000000000000e+03,8.139867734064115012e+00,7.925440646582403159e-02
