# number_of_models, mu, sigma
5.000000000000000000e+01,-2.005621682103185879e-02,1.451302276803562684e-02
1.000000000000000000e+02,-4.615229093758552170e-02,7.588451925494980529e-03
2.000000000000000000e+02,-5.104952947965200882e-02,5.627100489251391467e-03
5.000000000000000000e+02,-6.309657971916166064e-02,4.994781173855457161e-03
1.000000000000000000e+03,-6.411730007187675662e-02,4.388199070607918563e-03
