# number_of_models, mu, sigma
5.000000000000000000e+01,1.673206395172145006e-02,5.351207953393898736e-03
1.000000000000000000e+02,5.329117637432242809e-03,8.620971664633473100e-03
2.000000000000000000e+02,9.601347762720263343e-04,2.880404328816339645e-03
5.000000000000000000e+02,-1.626156404983155593e-04,3.419680031799749928e-03
1.000000000000000000e+03,-4.347487582996132846e-03,4.570434503175212389e-03
