# number_of_models, mu, sigma
5.000000000000000000e+01,1.093221631894873314e+00,4.661276649263491889e-02
1.000000000000000000e+02,1.117391840858775520e+00,6.596438299848510212e-02
2.000000000000000000e+02,1.123603147870325447e+00,4.884173942442551763e-02
5.000000000000000000e+02,1.149727129525244473e+00,4.644869510181689337e-02
1.000000000000000000e+03,1.126605826923772646e+00,5.964138592877551298e-02
