# number_of_models, mu, sigma
5.000000000000000000e+01,1.407278352245594499e-01,1.491409936822766721e-02
1.000000000000000000e+02,1.266865505096509970e-01,1.743772543088956128e-02
2.000000000000000000e+02,1.257589703880628851e-01,1.178727308451711989e-02
5.000000000000000000e+02,1.181383905374433080e-01,1.243629947343012805e-02
1.000000000000000000e+03,1.247358083544021223e-01,1.415356201049137140e-02
